class,precision,sensitivity,f1,specificity,accuracy,mcc,dor,TP,FP,FN,TN,anno_set,classifier,metric_type,organ,magnification,model,dropoutFraction,layerDepth,numberOfEpochs,trainPercent,validationPercent,patience,checkPointAccuracy,augmentColor,augmentGeometry,balanceClasses,elasticDeform,fixedDataSeed,augmentation,overlapPredict,pretrained,focalLoss,filterSize,kernelIncrease,normalization,magLayers,model_name,backbone_name,encoder_freeze,decoder_use_batchnorm,middleBlocks,loss,optimizer,learningRate,useFP16,useAllGPUs,time_evaluated,balance only,balance + elastic
Tissue,0.944566473,0.980982531,0.962430151,0.773076382,0.938910348,0.803495765,175.7321684,55997675,3286321,1085579,11195737,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_Xception_DO_0.2_AC_1_AG_1_BC_0_ED_0_MN_loss_2020_6_18_19_57,pixel,Heart,10,AE_Xception,0.2,,30,70,15,30,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"color, geo",TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,FALSE,
Lesions,0.779021008,0.286789879,0.419240117,0.995664324,0.959796067,0.457876814,92.34266843,1038502,294584,2582623,67649603,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_Xception_DO_0.2_AC_1_AG_1_BC_0_ED_0_MN_loss_2020_6_18_19_57,pixel,Heart,10,AE_Xception,0.2,,30,70,15,30,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"color, geo",TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,FALSE,
Background,0.897835926,0.97058853,0.93279581,0.980240157,0.978775402,0.921200923,1637.07068,10541497,1199509,319436,59504870,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_Xception_DO_0.2_AC_1_AG_1_BC_1_ED_1_MN_loss_2020_6_18_19_57,pixel,Heart,10,AE_Xception,0.2,,30,70,15,30,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"color, geo, balance, elastic",TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,FALSE,TRUE
Tissue,0.961554501,0.96905462,0.965289992,0.847279164,0.944411966,0.825964802,173.7323395,55316791,2211712,1766463,12270346,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_Xception_DO_0.2_AC_1_AG_1_BC_1_ED_1_MN_loss_2020_6_18_19_57,pixel,Heart,10,AE_Xception,0.2,,30,70,15,30,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"color, geo, balance, elastic",TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,FALSE,TRUE
Lesions,0.746850666,0.473505333,0.579564936,0.9914462,0.965238969,0.578318695,104.2415714,1714622,581181,1906503,67363006,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_Xception_DO_0.2_AC_1_AG_1_BC_1_ED_1_MN_loss_2020_6_18_19_57,pixel,Heart,10,AE_Xception,0.2,,30,70,15,30,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"color, geo, balance, elastic",TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,FALSE,TRUE
Background,0.909652753,0.965937917,0.936950796,0.982835324,0.980270931,0.925854972,1623.764935,10490987,1041971,369946,59662408,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_Seg_Model_ML_1_AC_1_AG_0_BC_0_ED_0_MN_loss_2020_6_18_19_57,pixel,Heart,10,Seg_Model,,,30,70,15,30,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,color,TRUE,TRUE,,,,,1,unet,efficientnetb0,FALSE,TRUE,,,,,,,,FALSE,
Tissue,0.973020868,0.954439598,0.963640669,0.895688375,0.942550617,0.827774518,179.8809321,54482518,1510647,2600736,12971411,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_Seg_Model_ML_1_AC_1_AG_0_BC_0_ED_0_MN_loss_2020_6_18_19_57,pixel,Heart,10,Seg_Model,,,30,70,15,30,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,color,TRUE,TRUE,,,,,1,unet,efficientnetb0,FALSE,TRUE,,,,,,,,FALSE,
Lesions,0.612032762,0.68269281,0.645434639,0.976935878,0.962047507,0.626490445,91.13276621,2472116,1567073,1149009,66377114,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_Seg_Model_ML_1_AC_1_AG_0_BC_0_ED_0_MN_loss_2020_6_18_19_57,pixel,Heart,10,Seg_Model,,,30,70,15,30,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,color,TRUE,TRUE,,,,,1,unet,efficientnetb0,FALSE,TRUE,,,,,,,,FALSE,
Background,0.936673608,0.950017646,0.943298438,0.988508539,0.982667064,0.933101493,1635.008988,10318078,697582,542855,60006797,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_Seg_Model_ML_1_AC_1_AG_0_BC_1_ED_1_MN_loss_2020_6_18_19_57,pixel,Heart,10,Seg_Model,,,30,70,15,30,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"color, balance, elastic",TRUE,TRUE,,,,,1,unet,efficientnetb0,FALSE,TRUE,,,,,,,,FALSE,TRUE
Tissue,0.962385081,0.979298692,0.970768221,0.849129316,0.952957433,0.851256697,266.2480103,55901556,2184918,1181698,12297140,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_Seg_Model_ML_1_AC_1_AG_0_BC_1_ED_1_MN_loss_2020_6_18_19_57,pixel,Heart,10,Seg_Model,,,30,70,15,30,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"color, balance, elastic",TRUE,TRUE,,,,,1,unet,efficientnetb0,FALSE,TRUE,,,,,,,,FALSE,TRUE
