class,precision,sensitivity,f1,specificity,accuracy,mcc,dor,TP,FP,FN,TN,anno_set,classifier,metric_type,organ,magnification,model,dropoutFraction,layerDepth,numberOfEpochs,trainPercent,validationPercent,patience,checkPointAccuracy,augmentColor,augmentGeometry,balanceClasses,elasticDeform,fixedDataSeed,augmentation,overlapPredict,pretrained,focalLoss,filterSize,kernelIncrease,normalization,magLayers,model_name,backbone_name,encoder_freeze,decoder_use_batchnorm,middleBlocks,loss,optimizer,learningRate,useFP16,useAllGPUs,time_evaluated,balance only,balance + elastic
Background,0.92872201,0.948666012,0.938588076,0.986973427,0.981159797,0.927535705,1400.179246,10303398,790770,557535,59913609,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_InceptionV3_DO_0.2_AC_1_AG_1_BC_0_ED_0_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_InceptionV3,0.2,,30,70,15,20,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"color, geo",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,FALSE,
Tissue,0.963146892,0.974084431,0.968584785,0.853088214,0.949599465,0.841566112,218.2595023,55603909,2127585,1479345,12354473,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_InceptionV3_DO_0.2_AC_1_AG_1_BC_0_ED_0_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_InceptionV3,0.2,,30,70,15,20,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"color, geo",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,FALSE,
Lesions,0.746200427,0.564556043,0.642792113,0.989766277,0.968251113,0.633195087,125.3931407,2044328,695322,1576797,67248865,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_InceptionV3_DO_0.2_AC_1_AG_1_BC_0_ED_0_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_InceptionV3,0.2,,30,70,15,20,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"color, geo",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,FALSE,
Background,0.914548023,0.961488852,0.937431178,0.983926629,0.980521415,0.926311695,1528.317317,10442666,975724,418267,59728655,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_InceptionV3_DO_0.2_AC_1_AG_1_BC_1_ED_0_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_InceptionV3,0.2,,30,70,15,20,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"color, geo, balance",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,TRUE,FALSE
Tissue,0.969737859,0.962154663,0.965931378,0.881649901,0.945863605,0.834362024,189.3913091,54922919,1713953,2160335,12768105,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_InceptionV3_DO_0.2_AC_1_AG_1_BC_1_ED_0_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_InceptionV3,0.2,,30,70,15,20,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"color, geo, balance",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,TRUE,FALSE
Lesions,0.659338186,0.639113535,0.649068351,0.982401143,0.965031173,0.630756588,98.85800211,2314310,1195740,1306815,66748447,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_InceptionV3_DO_0.2_AC_1_AG_1_BC_1_ED_0_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_InceptionV3,0.2,,30,70,15,20,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"color, geo, balance",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,TRUE,FALSE
Background,0.914783439,0.958161421,0.935970106,0.984030493,0.980104537,0.924547663,1411.168287,10406527,969419,454406,59734960,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_InceptionV3_DO_0.2_AC_1_AG_1_BC_1_ED_1_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_InceptionV3,0.2,,30,70,15,20,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"color, geo, balance, elastic",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,FALSE,TRUE
Tissue,0.967302396,0.969155332,0.968227978,0.870870494,0.949266273,0.842408752,211.9050856,55322540,1870061,1760714,12611997,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_InceptionV3_DO_0.2_AC_1_AG_1_BC_1_ED_1_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_InceptionV3,0.2,,30,70,15,20,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"color, geo, balance, elastic",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,FALSE,TRUE
Lesions,0.730784029,0.604781111,0.661838743,0.988125886,0.968729068,0.648777336,127.3419804,2189988,806777,1431137,67137410,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_InceptionV3_DO_0.2_AC_1_AG_1_BC_1_ED_1_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_InceptionV3,0.2,,30,70,15,20,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"color, geo, balance, elastic",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,FALSE,TRUE
Background,0.927060265,0.93149014,0.929269923,0.986887618,0.978480357,0.916583288,1023.3196,10116852,795979,744081,59908400,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_ResNet50_DO_0.2_AC_1_AG_0_BC_0_ED_0_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_ResNet50,0.2,,30,70,15,20,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,color,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,FALSE,
Tissue,0.94160824,0.983067223,0.961891202,0.759705975,0.937867524,0.799634793,183.5513586,56116676,3479952,966578,11002106,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_ResNet50_DO_0.2_AC_1_AG_0_BC_0_ED_0_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_ResNet50,0.2,,30,70,15,20,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,color,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,FALSE,
Lesions,0.837467905,0.244190134,0.37812579,0.99747425,0.959358914,0.439324216,127.5930343,884243,171610,2736882,67772577,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_ResNet50_DO_0.2_AC_1_AG_0_BC_0_ED_0_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_ResNet50,0.2,,30,70,15,20,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,color,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,FALSE,
Background,0.881858935,0.960923707,0.91969518,0.976967675,0.974532802,0.905772532,1043.080822,10436528,1398163,424405,59306216,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_ResNet50_DO_0.2_AC_1_AG_0_BC_1_ED_0_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_ResNet50,0.2,,30,70,15,20,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"color, balance",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,TRUE,FALSE
Tissue,0.963207165,0.957456262,0.960323104,0.855841276,0.936893309,0.80630381,133.6089644,54654719,2087715,2428535,12394343,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_ResNet50_DO_0.2_AC_1_AG_0_BC_1_ED_0_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_ResNet50,0.2,,30,70,15,20,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"color, balance",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,TRUE,FALSE
Lesions,0.649371007,0.535867168,0.587184264,0.984579328,0.961874993,0.570269938,73.71608831,1940442,1047745,1680683,66896442,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_ResNet50_DO_0.2_AC_1_AG_0_BC_1_ED_0_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_ResNet50,0.2,,30,70,15,20,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"color, balance",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,TRUE,FALSE
Background,0.91801412,0.957323556,0.93725685,0.984703377,0.980548146,0.926037625,1444.043858,10397427,928572,463506,59775807,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_ResNet50_DO_0.2_AC_1_AG_0_BC_1_ED_1_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_ResNet50,0.2,,30,70,15,20,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"color, balance, elastic",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,FALSE,TRUE
Tissue,0.966323397,0.961731947,0.964022205,0.867889219,0.942741799,0.823919526,165.0987197,54898789,1913236,2184465,12568822,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_ResNet50_DO_0.2_AC_1_AG_0_BC_1_ED_1_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_ResNet50,0.2,,30,70,15,20,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"color, balance, elastic",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,FALSE,TRUE
Lesions,0.62658872,0.593047741,0.609357028,0.981164128,0.961525872,0.589386262,75.91054794,2147500,1279788,1473625,66664399,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_ResNet50_DO_0.2_AC_1_AG_0_BC_1_ED_1_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_ResNet50,0.2,,30,70,15,20,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"color, balance, elastic",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,FALSE,TRUE
Background,0.87950776,0.9430188,0.91015667,0.976885374,0.971745697,0.894182235,699.4320007,10242064,1403159,618869,59301220,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_ResNet50_DO_0.2_AC_1_AG_1_BC_0_ED_0_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_ResNet50,0.2,,30,70,15,20,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"color, geo",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,FALSE,
Tissue,0.93233303,0.975070027,0.953222749,0.721054149,0.923667013,0.752017093,101.1025165,55660170,4039710,1423084,10442348,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_ResNet50_DO_0.2_AC_1_AG_1_BC_0_ED_0_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_ResNet50,0.2,,30,70,15,20,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"color, geo",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,FALSE,
Lesions,0.867566721,0.052758742,0.09946857,0.99957078,0.951663147,0.207083294,129.7082163,191046,29163,3430079,67915024,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_ResNet50_DO_0.2_AC_1_AG_1_BC_0_ED_0_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_ResNet50,0.2,,30,70,15,20,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"color, geo",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,FALSE,
Background,0.91629903,0.95748229,0.936438083,0.984351557,0.980273809,0.925083116,1416.576364,10399151,949929,461782,59754450,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_ResNet50_DO_0.2_AC_1_AG_1_BC_1_ED_0_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_ResNet50,0.2,,30,70,15,20,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"color, geo, balance",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,TRUE,FALSE
Tissue,0.961178847,0.965991287,0.963579058,0.846214329,0.941753052,0.818294745,156.2958754,55141926,2227133,1941328,12254925,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_ResNet50_DO_0.2_AC_1_AG_1_BC_1_ED_0_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_ResNet50,0.2,,30,70,15,20,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"color, geo, balance",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,TRUE,FALSE
Lesions,0.649337782,0.510553212,0.571642494,0.985305645,0.961283701,0.556049384,69.94488735,1848777,998396,1772348,66945791,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_ResNet50_DO_0.2_AC_1_AG_1_BC_1_ED_0_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_ResNet50,0.2,,30,70,15,20,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"color, geo, balance",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,TRUE,FALSE
Background,0.921682189,0.94750184,0.934413687,0.985595224,0.979814075,0.922610687,1234.889365,10290754,874433,570179,59829946,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_ResNet50_DO_0.2_AC_1_AG_1_BC_1_ED_1_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_ResNet50,0.2,,30,70,15,20,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"color, geo, balance, elastic",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,FALSE,TRUE
Tissue,0.962886747,0.960072353,0.961477491,0.854139999,0.938635732,0.810747969,140.8066273,54804054,2112353,2279200,12369705,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_ResNet50_DO_0.2_AC_1_AG_1_BC_1_ED_1_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_ResNet50,0.2,,30,70,15,20,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"color, geo, balance, elastic",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,FALSE,TRUE
Lesions,0.59287405,0.570376886,0.581407921,0.979125337,0.958443121,0.55966869,62.27204048,2065406,1418312,1555719,66525875,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_ResNet50_DO_0.2_AC_1_AG_1_BC_1_ED_1_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_ResNet50,0.2,,30,70,15,20,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"color, geo, balance, elastic",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,FALSE,TRUE
Background,0.905102697,0.968545612,0.935750046,0.981831327,0.979815053,0.92453902,1663.996928,10519309,1102918,341624,59601461,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_Xception_DO_0.2_AC_1_AG_0_BC_0_ED_0_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_Xception,0.2,,30,70,15,20,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,color,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,FALSE,
Tissue,0.96050818,0.966821933,0.963654715,0.843313706,0.941828633,0.818154738,156.8388214,55189342,2269140,1893912,12212918,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_Xception_DO_0.2_AC_1_AG_0_BC_0_ED_0_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_Xception,0.2,,30,70,15,20,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,color,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,FALSE,
Lesions,0.676629627,0.464263454,0.550681589,0.988174897,0.961665562,0.541689512,72.41726437,1681156,803447,1939969,67140740,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_Xception_DO_0.2_AC_1_AG_0_BC_0_ED_0_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_Xception,0.2,,30,70,15,20,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,color,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,FALSE,
Background,0.913253349,0.962740954,0.937344425,0.983638693,0.980467199,0.926236393,1553.442992,10456265,993203,404668,59711176,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_Xception_DO_0.2_AC_1_AG_0_BC_1_ED_0_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_Xception,0.2,,30,70,15,20,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"color, balance",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,TRUE,FALSE
Tissue,0.966311646,0.959138139,0.962711529,0.868197945,0.940735352,0.818534867,154.6178357,54750726,1908765,2332528,12573293,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_Xception_DO_0.2_AC_1_AG_0_BC_1_ED_0_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_Xception,0.2,,30,70,15,20,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"color, balance",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,TRUE,FALSE
Lesions,0.610139069,0.582375919,0.595934314,0.98016759,0.960039775,0.575099331,68.91959447,2108856,1347497,1512269,66596690,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_Xception_DO_0.2_AC_1_AG_0_BC_1_ED_0_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_Xception,0.2,,30,70,15,20,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"color, balance",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,TRUE,FALSE
Background,0.914088607,0.960999207,0.936957107,0.983840326,0.9803739,0.925749979,1500.173897,10437348,980963,423585,59723416,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_Xception_DO_0.2_AC_1_AG_0_BC_1_ED_1_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_Xception,0.2,,30,70,15,20,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"color, balance, elastic",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,FALSE,TRUE
Tissue,0.959000464,0.969365009,0.964154883,0.836647457,0.942508097,0.81933365,162.0638571,55334509,2365681,1748745,12116377,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_Xception_DO_0.2_AC_1_AG_0_BC_1_ED_1_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_Xception,0.2,,30,70,15,20,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"color, balance, elastic",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,FALSE,TRUE
Lesions,0.682045323,0.460861196,0.550050627,0.988549793,0.961849338,0.542056095,73.799729,1668836,777975,1952289,67166212,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_Xception_DO_0.2_AC_1_AG_0_BC_1_ED_1_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_Xception,0.2,,30,70,15,20,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"color, balance, elastic",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,FALSE,TRUE
Background,0.914680487,0.959608074,0.936605813,0.983985257,0.980285714,0.925314465,1459.714642,10422239,972165,438694,59732214,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_Xception_DO_0.2_AC_1_AG_1_BC_1_ED_0_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_Xception,0.2,,30,70,15,20,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"color, geo, balance",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,TRUE,FALSE
Tissue,0.966855511,0.966023941,0.966439547,0.869468276,0.9464848,0.834438514,189.3880424,55143790,1890368,1939464,12591690,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_Xception_DO_0.2_AC_1_AG_1_BC_1_ED_0_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_Xception,0.2,,30,70,15,20,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"color, geo, balance",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,TRUE,FALSE
Lesions,0.684515183,0.592951914,0.635452121,0.985435148,0.965575934,0.619238317,98.55887632,2147153,989597,1473972,66954590,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_Xception_DO_0.2_AC_1_AG_1_BC_1_ED_0_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_Xception,0.2,,30,70,15,20,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"color, geo, balance",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,TRUE,FALSE
Background,0.91172101,0.965301508,0.937746518,0.983277335,0.980549278,0.926762011,1635.772551,10484075,1015139,376858,59689240,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_Xception_DO_0.2_AC_1_AG_1_BC_1_ED_1_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_Xception,0.2,,30,70,15,20,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"color, geo, balance, elastic",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,FALSE,TRUE
Tissue,0.967184748,0.964322549,0.965751528,0.871036423,0.945445036,0.831760763,182.5566884,55046669,1867658,2036585,12614400,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_Xception_DO_0.2_AC_1_AG_1_BC_1_ED_1_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_Xception,0.2,,30,70,15,20,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"color, geo, balance, elastic",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,FALSE,TRUE
Lesions,0.669093027,0.582368187,0.622725641,0.984650004,0.964294993,0.605684613,89.44945287,2108828,1042943,1512297,66901244,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_Xception_DO_0.2_AC_1_AG_1_BC_1_ED_1_MN_loss_2020_6_18_21_6,pixel,Heart,10,AE_Xception,0.2,,30,70,15,20,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"color, geo, balance, elastic",TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,FALSE,TRUE
Background,0.935806402,0.942617729,0.939199716,0.988431197,0.981478429,0.928283585,1403.51123,10237708,702277,623225,60002102,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_Seg_Model_ML_1_AC_1_AG_0_BC_0_ED_0_MN_loss_2020_6_18_21_6,pixel,Heart,10,Seg_Model,,,30,70,15,20,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,color,TRUE,TRUE,,,,,1,unet,efficientnetb0,FALSE,TRUE,,,,,,,,FALSE,
Tissue,0.967989363,0.972967729,0.970472161,0.873176243,0.952773782,0.852663279,247.8090706,55540164,1836669,1543090,12645389,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_Seg_Model_ML_1_AC_1_AG_0_BC_0_ED_0_MN_loss_2020_6_18_21_6,pixel,Heart,10,Seg_Model,,,30,70,15,20,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,color,TRUE,TRUE,,,,,1,unet,efficientnetb0,FALSE,TRUE,,,,,,,,FALSE,
Lesions,0.737913322,0.661978529,0.697886448,0.987469318,0.970999847,0.683812985,154.3293467,2397107,851387,1224018,67092800,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_Seg_Model_ML_1_AC_1_AG_0_BC_0_ED_0_MN_loss_2020_6_18_21_6,pixel,Heart,10,Seg_Model,,,30,70,15,20,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,color,TRUE,TRUE,,,,,1,unet,efficientnetb0,FALSE,TRUE,,,,,,,,FALSE,
Background,0.919447136,0.970336618,0.944206683,0.984790191,0.98259668,0.934381525,2117.979348,10538761,923302,322172,59781077,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_Seg_Model_ML_1_AC_1_AG_0_BC_1_ED_0_MN_loss_2020_6_18_21_6,pixel,Heart,10,Seg_Model,,,30,70,15,20,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"color, balance",TRUE,TRUE,,,,,1,unet,efficientnetb0,FALSE,TRUE,,,,,,,,TRUE,FALSE
Tissue,0.965142644,0.976114851,0.97059774,0.861042402,0.952828627,0.85174108,253.230034,55719812,2012392,1363442,12469666,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_Seg_Model_ML_1_AC_1_AG_0_BC_1_ED_0_MN_loss_2020_6_18_21_6,pixel,Heart,10,Seg_Model,,,30,70,15,20,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"color, balance",TRUE,TRUE,,,,,1,unet,efficientnetb0,FALSE,TRUE,,,,,,,,TRUE,FALSE
Lesions,0.810539657,0.530726225,0.641445753,0.993388412,0.969978221,0.641828865,169.925103,1921826,449219,1699299,67494968,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_Seg_Model_ML_1_AC_1_AG_0_BC_1_ED_0_MN_loss_2020_6_18_21_6,pixel,Heart,10,Seg_Model,,,30,70,15,20,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"color, balance",TRUE,TRUE,,,,,1,unet,efficientnetb0,FALSE,TRUE,,,,,,,,TRUE,FALSE
Background,0.920611982,0.958776378,0.939306681,0.985207459,0.981196211,0.928454858,1549.016671,10413206,897972,447727,59806407,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_Seg_Model_ML_1_AC_1_AG_0_BC_1_ED_1_MN_loss_2020_6_18_21_6,pixel,Heart,10,Seg_Model,,,30,70,15,20,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"color, balance, elastic",TRUE,TRUE,,,,,1,unet,efficientnetb0,FALSE,TRUE,,,,,,,,FALSE,TRUE
Tissue,0.957092338,0.979142552,0.967991889,0.826976387,0.948349991,0.835845374,224.3739783,55892643,2505738,1190611,11976320,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_Seg_Model_ML_1_AC_1_AG_0_BC_1_ED_1_MN_loss_2020_6_18_21_6,pixel,Heart,10,Seg_Model,,,30,70,15,20,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"color, balance, elastic",TRUE,TRUE,,,,,1,unet,efficientnetb0,FALSE,TRUE,,,,,,,,FALSE,TRUE
Lesions,0.832705107,0.426744451,0.564297762,0.995430691,0.966655801,0.582216241,162.1735759,1545295,310458,2075830,67633729,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_Seg_Model_ML_1_AC_1_AG_0_BC_1_ED_1_MN_loss_2020_6_18_21_6,pixel,Heart,10,Seg_Model,,,30,70,15,20,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"color, balance, elastic",TRUE,TRUE,,,,,1,unet,efficientnetb0,FALSE,TRUE,,,,,,,,FALSE,TRUE
